Cell line	DoublingTime	Tissue	Drug	GR50 (uM)	GRmax	AOC_GR	fit r2 (GR curve)	IC50 (uM)	Emax	AUC	fit r2 (IC curve)	CDC73_del	BCL2_del	PTEN_mut
AU565	55.0	Breast	lapatinib	0.20278	-0.91423	0.76627	0.97774	0.34767	0.016202	0.57048	0.98618	del	+	WT
BT20	50.0	Breast	lapatinib	5.4748	0.18237	0.21825	0.98989	17.4675	0.46911	0.85119	0.98786	+	del	WT
BT474	70.0	Breast	lapatinib	0.1816	-0.71883	0.78178	0.99698	0.41561	0.13292	0.60355	0.99705	+	+	WT
BT549	43.0	Breast	lapatinib	7.3034	0.17322	0.14832	0.98982	12.1762	0.40937	0.8868	0.98668	del	+	WT
CAL120	40.0	Breast	lapatinib	31.0	0.70103	0.069358	0.94247	31.0	0.74718	0.93993	0.93856	+	+	WT
CAL148	35.0	Breast	lapatinib	31.0	0.92959	0.0021626	0.40308	31.0	0.92892	0.99804	0.39851	+	+	mut
CAL51	26.0	Breast	lapatinib	15.9402	0.4419	0.1366	0.90408	13.0281	0.40412	0.83509	0.86147	+	+	mut
CAMA1	53.0	Breast	lapatinib	31.0	0.7596	0.055567	0.84394	31.0	0.84032	0.96287	0.83917	+	+	mut
EFM19	64.0	Breast	lapatinib	8.6546	0.40432	0.1064	0.97353	31.0	0.6718	0.94187	0.96765	+	del	WT
EVSAT	33.0	Breast	lapatinib	31.0	0.70047	0.077554	0.93918	31.0	0.70188	0.92106	0.93487	+	+	mut
HCC1143	62.0	Breast	lapatinib	4.9594	0.32955	0.15621	0.96732	31.0	0.6224	0.9153	0.95087	+	+	WT
HCC1187	42.0	Breast	lapatinib	31.0	0.5868	0.067719	0.95462	31.0	0.67252	0.94513	0.94846	+	+	WT
HCC1419	60.0	Breast	lapatinib	0.52364	0.30077	0.3331	0.972	31.0	0.59676	0.80611	0.97193	del	del	WT
HCC1806	35.0	Breast	lapatinib	0.55868	0.23067	0.32999	0.97886	0.7477	0.36828	0.71709	0.98191	+	+	WT
HCC1937	69.0	Breast	lapatinib	3.3383	0.35796	0.23717	0.94854	31.0	0.66765	0.87691	0.9486	+	del	WT
HCC1954	42.0	Breast	lapatinib	0.67415	-0.59973	0.47319	0.97106	1.056	0.063425	0.67342	0.97124	del	+	WT
HCC2218	85.0	Breast	lapatinib	0.1589	-0.82429	0.89928	0.99847	0.27734	0.12744	0.58141	0.99641	+	+	WT
HCC38	47.0	Breast	lapatinib	10.7859	0.47701	0.097133	0.93806	31.0	0.62853	0.93171	0.92096	+	+	WT
HDQP1	72.0	Breast	lapatinib	0.91241	0.26538	0.31985	0.91922	31.0	0.63269	0.84219	0.91035	+	del	WT
HS578T	75.0	Breast	lapatinib	8.0183	-0.17988	0.12545	0.99187	16.5095	0.42494	0.94438	0.98282	+	+	WT
MCF7	30.0	Breast	lapatinib	15.5553	0.37311	0.070708	0.99052	15.3822	0.40553	0.92756	0.98455	+	del	WT
MDAMB157	67.0	Breast	lapatinib	1.4268	-0.33929	0.36388	0.98496	6.2568	0.30415	0.8123	0.97645	+	del	WT
MDAMB175VII	65.0	Breast	lapatinib	0.27074	-0.71105	0.77738	0.98557	0.4957	0.1173	0.59183	0.98395	+	del	WT
MDAMB231	48.0	Breast	lapatinib	8.897	0.22693	0.11103	0.9811	16.6501	0.48049	0.92203	0.97707	+	+	WT
MDAMB436	39.0	Breast	lapatinib	31.0	0.61723	0.039434	0.92183	31.0	0.67558	0.96664	0.90458	del	+	WT
MDAMB453	35.0	Breast	lapatinib	31.0	0.53081	0.21657	0.98794	31.0	0.57696	0.79972	0.98663	+	+	mut
MDAMB468	53.0	Breast	lapatinib	1.2777	-0.54355	0.40916	0.99628	2.9044	0.13438	0.74957	0.99412	+	+	WT
MFM223	48.0	Breast	lapatinib	11.2639	0.46055	0.072237	0.97946	31.0	0.62407	0.95045	0.97091	NaN	NaN	NaN
SKBR3	73.0	Breast	lapatinib	0.15378	-0.70527	0.77868	0.99156	0.37179	0.15128	0.61501	0.98988	del	+	WT
SW982	43.0	Breast	lapatinib	8.1684	0.2404	0.11297	0.9376	10.8959	0.44938	0.91404	0.91917	NaN	NaN	NaN
T47D	60.0	Breast	lapatinib	1.9342	0.31717	0.27573	0.99014	31.0	0.60581	0.83885	0.98986	del	+	WT
